CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
284030921,1,MANHATTAN,03/19/2024,17:30:00,03/19/2024,17:39:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,351,MISDEMEANOR,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO MAN SOUTH,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",SMALL MERCHANT,03/19/2024,(null),UNKNOWN,BLACK,M,,25-44,ASIAN / PACIFIC ISLANDER,M,980678.0,196607.0,40.706319,-74.012881,"(40.706319, -74.012881)",POINT (-74.012881 40.706319)
290411095,71,BROOKLYN,07/21/2024,20:25:00,07/21/2024,20:28:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,(null),PATROL BORO BKLYN SOUTH,333.0,"LARCENY,PETIT FROM STORE-SHOPL",FOOD SUPERMARKET,07/21/2024,(null),45-64,BLACK,F,,UNKNOWN,UNKNOWN,D,994990.0,177953.0,40.655111,-73.961289,"(40.655111, -73.961289)",POINT (-73.961289 40.655111)
288158789,79,BROOKLYN,06/07/2024,22:00:00,06/07/2024,22:17:00,COMPLETED,(null),483.0,2,N.Y. HOUSING POLICE,358,MISDEMEANOR,FRONT OF,OFFENSES INVOLVING FRAUD,(null),PATROL BORO BKLYN NORTH,705.0,"FORGERY,ETC.-MISD.",RESIDENCE - PUBLIC HOUSING,06/07/2024,(null),18-24,BLACK,M,,UNKNOWN,UNKNOWN,E,995619.0,190845.0,40.690496,-73.959003,"(40.690496, -73.959003)",POINT (-73.959003 40.690496)
293460171,114,QUEENS,09/17/2024,20:40:00,09/17/2024,20:49:00,COMPLETED,(null),21821.0,2,N.Y. HOUSING POLICE,348,MISDEMEANOR,FRONT OF,VEHICLE AND TRAFFIC LAWS,(null),PATROL BORO QUEENS NORTH,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",RESIDENCE - PUBLIC HOUSING,09/17/2024,(null),45-64,BLACK,M,,UNKNOWN,UNKNOWN,E,999925.0,214506.0,40.755434,-73.943421,"(40.755434, -73.943421)",POINT (-73.943421 40.755434)
291731244,102,QUEENS,08/14/2024,00:42:00,08/15/2024,00:47:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,233,MISDEMEANOR,FRONT OF,SEX CRIMES,(null),PATROL BORO QUEENS SOUTH,681.0,"CHILD, ENDANGERING WELFARE",RESIDENCE-HOUSE,08/15/2024,(null),25-44,WHITE HISPANIC,F,,UNKNOWN,UNKNOWN,E,1030953.0,194101.0,40.69932415739,-73.831570887672,"(40.69932415739, -73.831570887672)",POINT (-73.831570887672 40.69932415739)
289233638,75,BROOKLYN,06/19/2024,07:55:00,06/19/2024,08:05:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,(null),PATROL BORO BKLYN NORTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,06/19/2024,(null),UNKNOWN,UNKNOWN,U,,25-44,AMERICAN INDIAN/ALASKAN NATIVE,F,1013645.0,182937.0,40.668749,-73.894035,"(40.668749, -73.894035)",POINT (-73.894035 40.668749)
280552275,111,QUEENS,01/13/2024,18:15:00,01/14/2024,12:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,121,FELONY,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO QUEENS NORTH,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",STREET,01/14/2024,(null),UNKNOWN,UNKNOWN,U,,25-44,WHITE,M,1045797.0,217406.0,40.763193,-73.777819,"(40.763193, -73.777819)",POINT (-73.777819 40.763193)
285023387,34,MANHATTAN,11/08/2023,04:00:00,03/28/2024,17:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,(null),PATROL BORO MAN NORTH,639.0,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,03/28/2024,(null),UNKNOWN,WHITE,U,,18-24,BLACK HISPANIC,F,1003517.0,253101.0,40.861358,-73.930346,"(40.861358, -73.930346)",POINT (-73.930346 40.861358)
281222004,114,QUEENS,01/26/2024,19:15:00,01/26/2024,19:20:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,344,MISDEMEANOR,(null),ASSAULT 3 & RELATED OFFENSES,(null),PATROL BORO QUEENS NORTH,113.0,"MENACING,UNCLASSIFIED",STREET,01/26/2024,(null),25-44,BLACK,M,,45-64,BLACK,M,1001819.0,212976.0,40.75122897269299,-73.93658951283008,"(40.75122897269299, -73.93658951283008)",POINT (-73.93658951283008 40.75122897269299)
292298706,79,BROOKLYN,08/26/2024,03:40:00,08/26/2024,03:50:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,107,FELONY,INSIDE,BURGLARY,(null),PATROL BORO BKLYN NORTH,223.0,"BURGLARY,RESIDENCE,NIGHT",RESIDENCE - APT. HOUSE,08/26/2024,(null),UNKNOWN,BLACK,U,,45-64,BLACK,F,999459.0,187877.0,40.682344,-73.945163,"(40.682344, -73.945163)",POINT (-73.945163 40.682344)
