listing_id,borough_Queens,borough_Manhattan,borough_Brooklyn,borough_Bronx,distance_to_nearest_crime_m,number_of_crimes_within_100m,average_offence_weight_within_100m,distance_to_nearest_bus_stop_m,number_of_bus_stops_within_100m,distance_to_nearest_subway_station_m,number_of_subway_stations_within_100m,distance_to_nearest_restaurant_m,number_of_restaurants_within_100m,distance_to_nearest_education_institution_m,number_of_education_institutions_within_100m,distance_to_nearest_cultural_institution_m,number_of_cultural_institutions_within_100m,distance_to_nearest_recreation_point_m,number_of_recreation_points_within_100m,distance_to_nearest_religious_institution_m,number_of_religious_institutions_within_100m,distance_to_nearest_health_institution_m,number_of_health_institutions_within_100m,distance_to_nearest_main_attraction_m
1160944845126278683,False,True,False,False,29.846172952950287,42,116.04761904761904,73.54683774830653,1,265.8357136332046,0,36.52008503480212,19,343.8063249211361,0,156.51866542662324,0,589.8940468317226,0,46.829121980274536,1,386.12248137345216,0,354.5468752220845
53722560,False,True,False,False,31.75965839418925,38,141.0,67.89236986802106,2,238.40283820243027,0,60.5902614239264,6,197.69494033805157,0,249.51747760260727,0,258.24775142417883,0,188.73991044213315,0,892.5766582793894,0,1250.8296778319789
562263996147987504,False,True,False,False,37.929504128298525,64,109.234375,88.14211768552008,2,773.9197532805264,0,64.75736623087298,7,229.4394142085712,0,380.28807983117247,0,65.71179178996887,3,111.53486197845687,0,435.8379651747502,0,2767.602681407328
728398501419565451,True,False,False,False,58.599231753307286,24,81.29166666666667,207.66841989409565,0,4050.516905115754,0,250.2818125402496,0,168.73695740930353,0,229.38793567119848,0,112.26340107372316,0,386.2307705925718,0,1809.265579964551,0,19465.325699014185
44555814,True,False,False,False,38.75185758081678,21,134.14285714285714,54.04879920880851,1,592.2543928572817,0,81.19346913420716,1,138.67691780026885,0,422.580972007823,0,389.85858182472487,0,394.834242251578,0,2091.944276207684,0,4584.211321790149
644176324966821813,True,False,False,False,35.967049589757195,63,134.38095238095238,21.33741527080345,5,354.2242148698447,0,31.340299472313298,8,138.08858324839534,0,588.6456899682775,0,366.63288483703536,0,283.4153053222813,0,1139.2457230861444,0,8422.268188108997
1034220186060069422,False,True,False,False,30.13658112876476,54,144.4814814814815,72.87548181937476,4,313.0504341465672,0,17.68444164447823,28,153.54508234176822,0,28.544066680899903,1,84.34795136946695,1,130.79072735428323,0,1179.4557331551805,0,588.3071145341262
28155197,False,False,True,False,23.264455717420773,37,151.27027027027026,43.64183688115204,2,473.3147541202128,0,209.38953660618677,0,5.378551377352635,3,431.3803606606456,0,165.22528741620764,0,410.5107021447555,0,298.0162592045306,0,7387.642546203522
43197566,False,False,False,False,30.39678110938786,35,165.88571428571427,54.53521835502601,1,927.3591357378684,0,123.316544055132,0,236.5687322672837,0,709.3539393313491,0,272.6203028052306,0,78.23904924056755,1,541.4442368180411,0,5927.561034389636
647125962319558621,False,True,False,False,43.46098593112468,103,92.67961165048544,48.04410429143834,1,240.80625470982807,0,42.16525333555717,17,161.23479727621967,0,155.0394478959779,0,251.52714929098605,0,147.3948579202501,0,538.0847050762814,0,852.3450175366986
732139371108674925,True,False,False,False,104.74903803643716,0,0.0,129.26323271283505,0,1879.341645598943,0,731.5935013917834,0,770.582813664856,0,1284.882984507356,0,575.8953756524764,0,675.3617326163729,0,873.6107327481965,0,18121.531503212285
1030472576698653414,True,False,False,False,18.2435630452647,29,138.44827586206895,150.543827100795,0,553.7267655981177,0,70.07587218593794,4,123.42101853563638,0,402.0148194121834,0,270.62017740054176,0,328.7631709590186,0,952.6028927913902,0,4520.53076305142
1021876745256899743,False,True,False,False,27.36792896896822,87,159.93103448275863,86.8813587894623,1,805.9762244677187,0,18.509424665556303,3,67.30807993567726,3,298.386722502566,0,29.954073232260978,2,111.45247863921482,0,244.85668409471265,0,2837.197349833921
52425027,False,False,True,False,50.44818884279499,32,94.65625,103.17930927698708,0,121.60163763912004,0,61.97737548423858,5,116.92400226014028,0,591.2495313439027,0,226.5091435099988,0,186.37492734891904,0,543.5766503718369,0,6570.405261429332
54258024,False,True,False,False,22.687703222016324,17,95.11764705882354,119.53666694961012,0,464.30928666600647,0,60.29608179772647,1,265.832204010976,0,163.21306387298182,0,278.9313546779076,0,191.912859028492,0,53.99694062085192,1,1550.6302984616102
953828756330090292,False,True,False,False,42.9378589670304,36,138.16666666666666,74.68134924172699,1,120.45936581909048,0,41.47421305637683,10,122.72048580620115,0,91.88938422849654,1,207.412266619898,0,175.72726797009346,0,153.6237540462549,0,1908.9479614850336
51868685,True,False,False,False,48.39158308907054,6,108.83333333333331,378.4025262583567,0,474.5261988409516,0,187.78368806888503,0,180.4271675542971,0,663.9652331635795,0,162.9061097446427,0,413.5765716825731,0,727.7197127447114,0,10508.384503860038
878171494064928543,True,False,False,False,45.35689015387547,8,95.75,52.426662674869945,2,1685.182289523183,0,294.23355735154985,0,126.92643532468578,0,318.9942284654347,0,977.7760609474576,0,241.55346837710724,0,838.8869051545737,0,12996.55393921906
37247512,False,False,True,False,72.77705470832196,10,36.3,287.6731928802937,0,26.01175023815909,1,252.4940266180775,0,173.11150347752246,0,361.1533386883523,0,304.66504674314456,0,319.3891115010237,0,1629.5740698112452,0,8422.606103470614
